Perceptron Bipolarny;
0.2;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B144:M144);
0.15;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B145:M145);
0.1;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B146:M146);
0.05;1152.39;1152.39;1881.05;776.18;392.05;0;392.05;0;0;0;0;0;=ŒREDNIA(B147:M147);
0.04;1513.08;776.18;392.05;392.05;776.18;0;0;776.18;0;0;0;0;=ŒREDNIA(B148:M148);
0.03;392.05;1513.06;1140.9;1513.06;1873.51;1513.06;776.18;0;0;0;0;0;=ŒREDNIA(B149:M149);
0.02;1501.74;2574.33;2203.74;1497.89;2559.59;764.567;1873.51;392.05;0;0;0;0;=ŒREDNIA(B150:M150);
0.01;1866.08;2824.4;3122.39;1494.14;1839.93;1851.01;1854.77;1509.25;1133.25;772.289;392.05;0;=ŒREDNIA(B151:M151);
Srednia:;=ŒREDNIA(B136:B151);=ŒREDNIA(C136:C151);=ŒREDNIA(D136:D151);=ŒREDNIA(E136:E151);=ŒREDNIA(F136:F151);=ŒREDNIA(G136:G151);=ŒREDNIA(H136:H151);=ŒREDNIA(I136:I151);=ŒREDNIA(J136:J151);=ŒREDNIA(K136:K151);=ŒREDNIA(L136:L151);=ŒREDNIA(M136:M151);=ŒREDNIA(N136:N151);
Perceptron Bipolarny - nie nauczono;
ucz/max;1;0.9;0.8;0.7;0.6;0.5;0.4;0.3;0.2;0.1;0.05;0.01;Œrednia:;
0.9;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B155:M155);
0.8;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B156:M156);
0.7;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B157:M157);
0.6;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B158:M158);
0.5;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B159:M159);
0.4;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B160:M160);
0.3;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B161:M161);
0.25;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B162:M162);
0.2;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B163:M163);
0.15;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B164:M164);
0.1;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B165:M165);
0.05;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B166:M166);
0.04;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B167:M167);
0.03;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B168:M168);
0.02;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B169:M169);
0.01;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B170:M170);
Srednia:;=ŒREDNIA(B155:B170);=ŒREDNIA(C155:C170);=ŒREDNIA(D155:D170);=ŒREDNIA(E155:E170);=ŒREDNIA(F155:F170);=ŒREDNIA(G155:G170);=ŒREDNIA(H155:H170);=ŒREDNIA(I155:I170);=ŒREDNIA(J155:J170);=ŒREDNIA(K155:K170);=ŒREDNIA(L155:L170);=ŒREDNIA(M155:M170);=ŒREDNIA(N155:N170);
